guideline_id,filename,guideline_name,guideline_label,icd10,age_category,section_order,section_title,canonical_title,section_kind,chunks,chars
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,6,1.6 Клиническая картина заболевания или состояния (группы заболеваний,клиническая картина заболевания или состояния (группы заболеваний,numbered,2,3427
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,7,2.1 Жалобы и анамнез,жалобы и анамнез,numbered,3,3885
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,8,2.2 Физикальное обследование,физикальное обследование,numbered,6,10465
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,9,2.3 Лабораторные диагностические исследования,лабораторные диагностические исследования,numbered,2,3021
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,10,2.4 Инструментальные диагностические исследования,инструментальные диагностические исследования,numbered,6,10248
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,11,2.5 Иные диагностические методы исследования,иные диагностические методы исследования,numbered,2,3519
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,12,"3.1 Составление плана лечения, включающего ортодонтическую","составление плана лечения, включающего ортодонтическую",numbered,2,3620
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,13,"3.2 Хирургическое лечение, включая корректирующие хирургические","хирургическое лечение, включая корректирующие хирургические",numbered,12,20565
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,14,3.3 Профилактика инфекций области хирургического вмешательства,профилактика инфекций области хирургического вмешательства,numbered,3,4497
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,15,3.4 Обезболивание,обезболивание,numbered,1,719
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,16,3.5 Диетотерапия,диетотерапия,numbered,9,16063
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,17,Критерии оценки качества медицинской помощи,критерии оценки качества медицинской помощи,criteria,1,1020
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,18,Список литературы,список литературы,bibliography,2,3236
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,19,"14.01.14 / Герасимов А.С. – Санкт-Петербург, 2011. – 112 с.","/ герасимов а.с. – санкт-петербург, 2011. – 112 с",numbered,6,10925
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,20,"14.01.14 / Овсепян Т.Н. – Санкт-Петербург, 2021. – 184 с.","/ овсепян т.н. – санкт-петербург, 2021. – 184 с",numbered,6,9621
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,21,"05.09.2016 : дата гос. регистрации в Реестре баз данных 08.09.2016 / Калакуцкий Н.В.,",дата гос. регистрации в реестре баз данных 08.09.2016 / калакуцкий н.в,numbered,22,38744
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,22,Приложение А1. Состав рабочей группы по разработке и,состав рабочей группы по разработке и,appendix,1,1697
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,23,Приложение А2. Методология разработки клинических,методология разработки клинических,appendix,2,3736
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,24,"Приложение А3. Справочные материалы, включая","справочные материалы, включая",appendix,1,1719
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,25,Приложение Б. Алгоритмы действий врача,алгоритмы действий врача,appendix,1,113
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,26,Приложение В. Информация для пациента,информация для пациента,appendix,1,1375
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,27,"Приложение Г1-ГN. Шкалы оценки, вопросники и другие оценочные","шкалы оценки, вопросники и другие оценочные",appendix,1,155
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",1,1.1 Определение заболевания или состояния (группы заболеваний или,определение заболевания или состояния (группы заболеваний или,numbered,1,389
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",2,1.2 Этиология и патогенез заболевания или состояния (группы заболеваний или,этиология и патогенез заболевания или состояния (группы заболеваний или,numbered,4,5638
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",3,1.3 Эпидемиология заболевания или состояния (группы заболеваний или,эпидемиология заболевания или состояния (группы заболеваний или,numbered,2,2982
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",4,1.4 Особенности кодирования заболевания или состояния (группы заболеваний,особенности кодирования заболевания или состояния (группы заболеваний,numbered,1,209
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",5,1.5 Классификация заболевания или состояния (группы заболеваний или,классификация заболевания или состояния (группы заболеваний или,numbered,1,677
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",6,1.6 Клиническая картина заболевания или состояния (группы заболеваний или,клиническая картина заболевания или состояния (группы заболеваний или,numbered,10,16497
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",7,2.1 Жалобы и анамнез,жалобы и анамнез,numbered,1,145
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",8,2.2 Физикальное обследование,физикальное обследование,numbered,1,169
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",9,2.3 Лабораторные диагностические исследования,лабораторные диагностические исследования,numbered,5,8726
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",10,2.4 Инструментальные диагностические исследования,инструментальные диагностические исследования,numbered,1,66
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",11,2.5 Иные диагностические исследования,иные диагностические исследования,numbered,15,26055
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",12,3.2 Хирургическое лечение,хирургическое лечение,numbered,2,2149
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",13,3.3 Иное лечение,иное лечение,numbered,8,14418
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",14,Критерии оценки качества медицинской помощи,критерии оценки качества медицинской помощи,criteria,1,997
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",15,Список литературы,список литературы,bibliography,15,25939
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",16,Приложение А1. Состав рабочей группы по разработке и пересмотру,состав рабочей группы по разработке и пересмотру,appendix,1,1122
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",17,Приложение А2. Методология разработки клинических рекомендаций,методология разработки клинических рекомендаций,appendix,2,3508
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",18,"Приложение А3. Справочные материалы, включая соответствие","справочные материалы, включая соответствие",appendix,10,17633
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",19,Приложение Б. Алгоритмы действий врача,алгоритмы действий врача,appendix,1,1019
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",20,Приложение В. Информация для пациента,информация для пациента,appendix,1,1004
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",21,"Приложение Г1-ГN. Шкалы оценки, вопросники и другие оценочные","шкалы оценки, вопросники и другие оценочные",appendix,1,135
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",22,Приложение Г1. Диагностические критерии язвенной гангренозной,диагностические критерии язвенной гангренозной,appendix,1,1860
1002_1,1002_1.pdf,Пиодермия гангренозная,1002_1 — Пиодермия гангренозная,L88,"Взрослые, дети",23,Приложение Г2. Диагностические критерии язвенной гангренозной,диагностические критерии язвенной гангренозной,appendix,1,1992
1003_1,1003_1.pdf,Аскаридоз,1003_1 — Аскаридоз,B77,"Взрослые, дети",1,(без раздела),(без раздела),unsectioned,0,0
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",1,1.1 Определение заболевания или состояния (группы заболеваний или,определение заболевания или состояния (группы заболеваний или,numbered,1,500
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",2,1.2 Этиология и патогенез заболевания или состояния (группы заболеваний или,этиология и патогенез заболевания или состояния (группы заболеваний или,numbered,2,2235
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",3,1.3 Эпидемиология заболевания или состояния (группы заболеваний или,эпидемиология заболевания или состояния (группы заболеваний или,numbered,1,948
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",4,1.4 Особенности кодирования заболевания или состояния (группы заболеваний,особенности кодирования заболевания или состояния (группы заболеваний,numbered,1,438
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",5,1.5 Классификация заболевания или состояния (группы заболеваний или,классификация заболевания или состояния (группы заболеваний или,numbered,6,10154
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",6,1.6 Клиническая картина заболевания или состояния (группы заболеваний или,клиническая картина заболевания или состояния (группы заболеваний или,numbered,3,4404
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",7,2.1 Жалобы и анамнез,жалобы и анамнез,numbered,1,1248
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",8,2.2 Физикальное обследование,физикальное обследование,numbered,1,1969
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",9,2.3 Лабораторные диагностические исследования,лабораторные диагностические исследования,numbered,3,3960
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",10,2.4 Инструментальные диагностические исследования,инструментальные диагностические исследования,numbered,2,2682
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",11,2.5 Иные диагностические исследования,иные диагностические исследования,numbered,3,4175
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",12,3.1 Немедикаментозная терапия,немедикаментозная терапия,numbered,1,1304
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",13,3.2 Трансфузионная и хелаторная терапия,трансфузионная и хелаторная терапия,numbered,4,6027
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",14,3.3 Лекарственная терапия,лекарственная терапия,numbered,3,5389
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",15,3.4 Спленэктомия,спленэктомия,numbered,2,2186
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",16,3.5 Трансплантация гемопоэтических стволовых клеток,трансплантация гемопоэтических стволовых клеток,numbered,3,4707
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",17,3.5 Трансплантация гемопоэтических стволовых клеток пуповинной крови,трансплантация гемопоэтических стволовых клеток пуповинной крови,numbered,1,1141
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",18,3.6 Обезболивание,обезболивание,numbered,1,501
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",19,4.1 Психосоциальная реабилитация при талассемии,психосоциальная реабилитация при талассемии,numbered,2,3079
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",20,4.2 Медицинская реабилитация,медицинская реабилитация,numbered,1,275
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",21,4.3 Санаторно-курортное лечение,санаторно-курортное лечение,numbered,1,469
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",22,5.1 Профилактика осложнений,профилактика осложнений,numbered,1,1153
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",23,5.2 Диспансерное наблюдение).,диспансерное наблюдение),numbered,1,29
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",24,5.2 Диспансерное наблюдение,диспансерное наблюдение,numbered,4,6801
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",25,Критерии оценки качества медицинской помощи,критерии оценки качества медицинской помощи,criteria,2,2021
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",26,Список литературы,список литературы,bibliography,19,34134
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",27,Приложение А1. Состав рабочей группы по разработке и пересмотру,состав рабочей группы по разработке и пересмотру,appendix,4,5972
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",28,Приложение А2. Методология разработки клинических рекомендаций,методология разработки клинических рекомендаций,appendix,2,3313
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",29,"Приложение А3. Справочные материалы, включая соответствие","справочные материалы, включая соответствие",appendix,4,6233
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",30,Приложение Б. Алгоритмы действий врача,алгоритмы действий врача,appendix,1,1342
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",31,Приложение В. Информация для пациента,информация для пациента,appendix,5,8819
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",32,"Приложение Г1-ГN. Шкалы оценки, вопросники и другие оценочные","шкалы оценки, вопросники и другие оценочные",appendix,1,135
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",33,Приложение Г1. Шкала оценки степени тяжести Е/β-талассемии,шкала оценки степени тяжести е/β-талассемии,appendix,1,921
1004_1,1004_1.pdf,Талассемия,1004_1 — Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",34,Приложение Г2. Критерии подразделения талассемии на трансфузионно,критерии подразделения талассемии на трансфузионно,appendix,1,1122
1005_1,1005_1.pdf,Системный склероз,1005_1 — Системный склероз,"M34.0, M34.8, M34.9",Дети,1,2.1 Обследование пациентов с подозрением на системный склероз,обследование пациентов с подозрением на системный склероз,numbered,21,37625
1005_1,1005_1.pdf,Системный склероз,1005_1 — Системный склероз,"M34.0, M34.8, M34.9",Дети,2,2.1.4 Инструментальные диагностические исследования,инструментальные диагностические исследования,numbered,16,28158
1005_1,1005_1.pdf,Системный склероз,1005_1 — Системный склероз,"M34.0, M34.8, M34.9",Дети,3,2.2 Обследование пациентов с подтвержденным диагнозом системный склероз в,обследование пациентов с подтвержденным диагнозом системный склероз в,numbered,1,417
1005_1,1005_1.pdf,Системный склероз,1005_1 — Системный склероз,"M34.0, M34.8, M34.9",Дети,4,2.2.1 Лабораторные диагностические исследования,лабораторные диагностические исследования,numbered,11,18257
1005_1,1005_1.pdf,Системный склероз,1005_1 — Системный склероз,"M34.0, M34.8, M34.9",Дети,5,2.2.2 Инструментальные диагностические исследования,инструментальные диагностические исследования,numbered,11,18660
1005_1,1005_1.pdf,Системный склероз,1005_1 — Системный склероз,"M34.0, M34.8, M34.9",Дети,6,3.1 Консервативное лечение,консервативное лечение,numbered,50,88304
1005_1,1005_1.pdf,Системный склероз,1005_1 — Системный склероз,"M34.0, M34.8, M34.9",Дети,7,5.3 Онконастороженность у пациентов с системным склерозом в условиях,онконастороженность у пациентов с системным склерозом в условиях,numbered,24,42314
